"Site Code","Site Name","Site Address","City","Country","Region","Legal Entity Name","ERP Code","Legal Entity Code","Sector","Business Unit","Business Field / Type / Service","%23 of Employees","Tier","Site Data Admin","Site Head","Digtial Lead / SPOC","OT Service Delivery Mgr.","OT Project Delivery Mgr.","OT Engineers","OT Solution Architect","CyberSecurity Mgr.","IT Business Partner","IT/OT Training Status","Roadmap Maturity","Current Maturity (BPOG)","Target Maturity (BPOG)","(Target) DPI Variant","IT Assessment","OT Assessment","DPI Core Implementation","DPI Operations","OT System Integration","Total Number of OT Applications","Number of OT Applications to be migrated to DPI","Number of migrated OT Applications","Migration Completed","Latitude","Longitude","Site Image","Review Due Date","Review Status","ID","MES System","MES Version","MES Template","MES Project Status","MES Main Contact","Site Engineering Director","Data Historian Availability","MIddleware Availability","Used Middleware","Used Data Historian","PM Production","PM Technical contact","PM System Size","PM Start of Operation","PM Technical specials"
"ROBU1","Bucharest (W)",,"Bucharest (W)","Romania","EMEA",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)","Krzysztof Skrobacz",,"Krzysztof Skrobacz",,,,,,,,,,,"N/A",,,,,,,"1","0","0.0%",,,,"11/14/2025 2:22 PM","Completed / Updated","25",,,,,,,,,,,,,,,
"CHBU1","Buchs","Industriestrasse 25, 9470 Buchs","Buchs","Switzerland","EMEA","Sigma Aldrich Production GmbH",,"4120","Life Science","ISCO","ISCO","386","Tier 1","Rolf Kramer","Michael Muehlhofer","Rolf Kramer","Rolf Kramer","Rolf Kramer","Cumali Ilhan",,"Rolf Kramer","Massud Arghandiwall","Ongoing","Stage 2 | Approved Site Masterplan (Site LT approved)",,,"Premium","Completed","Completed","Completed","Planning","Ongoing","80","40","0","0.0%","47.1746030540509","9.47889041254266",,"11/14/2025 10:31 PM","Completed / Updated","26",,,,,,,,,,,,,,,
"HUBU1","Budapest (W)",,"Budapest (W)","Hungary","EMEA",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)","Viktoria Kozak",,"Viktoria Kozak",,,,,,,,,,,"N/A",,,,,,,"1","0","0.0%",,,,"11/14/2025 10:32 PM","Completed / Updated","27",,,,,,,,,,,,,,,
,"Buenos Aires (Local DC)","Centro Logístico Carlos Spegazzini<br>Marconi 877, Carlos Spegazzini – Buenos Aires, Argentina","Buenos Aires","Argentina","NASA",,"P70;PRE","1226/AR01
2112/AR01","Life Science",,,,,,,,"Raul Faudoa",,,,"Raul Faudoa",,,,,,,,,,,,,,,,,,,,"Completed / Updated","342",,,,,,,,,,,,,,,
"USBU1","Burlington",,"Burlington","United States of America","NASA",,,,"Life Science","ISCO","ISCO","115","Tier 1 (NC)","Dharmeshbhai Patel","Traci Lewis","Dharmeshbhai Patel","Dharmeshbhai Patel",,,,"Isaac Saron","Pedro Guerrero",,,,,"N/A",,,,,,,"1","0","0.0%","42.4735552065207","-71.215917381431",,"11/14/2025 10:34 PM","Completed / Updated","28",,,,,,,,,,,,,,,
"BRSP2","Cajamar (W)","Cajamar, Via de Acesso Sul, Km 30 - Rodovia Anhanguera - Módulo B4 - CEP 07790-330 -Cajamar - SP)","Cajamar","Brazil","NASA","Merck","P70 PRE","1227/BR03
2113/BR01","Life Science","ISCO","DC","72","Tier 1","Elias Rodrigues","Gentil Neto","Elias Rodrigues","Elias Rodrigues","Elias Rodrigues",,,"Elias Rodrigues",,,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","-23.5871030383925","-46.8850148416223",,"11/15/2025 12:44 PM","Completed / Updated","37",,,,,,,,,,,,,,,
"ARSP1","Carlos Spegazzini(W)",,"Carlos Spegazzini(W)","Argentina","NASA",,,,"Life Science","ISCO","DC",,"Tier 3","Pablo BERARDI",,"Pablo BERARDI","Raul Faudoa",,,,"Raul Faudoa",,,,,,"N/A",,,,,,,"1",,,"-34.905746809395","-58.5998061623841",,"11/14/2025 10:35 PM","Completed / Updated","29",,,,,,,,,,,,,,,
"USCA2","Carlsbad","2827 Whiptail Loop W, 92010 Carlsbad, CA, USA","Carlsbad (WPT)","United States of America","NASA","SAFC Carlsbad",,"2086","Life Science","ISCO (CDMO)","PAD / Mfg.","244","Tier 1 (NC)","Christian Ramos","Patrick Boylan","Christian Ramos","Christian Ramos","Christian Ramos","Christian Ramos",,"Christian Ramos","Manu Kaura","Ongoing","Stage 1 | Site Vision Roamap (idea)","2","3","Premium","Completed","Completed","Completed","Cognizant-managed","Ongoing","200","150","60","40.0%","33.1419840931277","-117.254335769318",,"11/13/2025 1:54 PM","Completed / Updated","9",,,,,,,,,,,,,,,
"IECO1","Carrigtwohill (Cork)","Merck Millipore Ltd | Carrigtwohill | Co Cork | T45 KD29  | Ireland ","Cork","Ireland","EMEA","Merck Millipore Ireland Ltd",,"1937","Life Science","ISCO","ISCO","800","Tier 1","Fiona Lannin","Karen OConnor","Fiona Lannin;Dave Murphy;Mike Barry","Andreas Nicklas;Dave Murphy","Mike Barry","Aquib Khan","Dave Murphy","Fiona Lannin","Omar Nadhour","Ongoing","Stage 1 | Site Vision Roamap (idea)","2","3","Platinum",,"Completed","Completed","Merck-managed","Ongoing","50","46","4","8.7%","51.9101705741376","-8.27743754441988",,"11/15/2025 12:42 PM","Completed / Updated","36",,,,,,,,,,,,,,,
"IECO1","Carrigtwohill (W)","Merck Millipore Ltd | Carrigtwohill | Co Cork | T45 KD29  | Ireland ","Carrigtwohill (W)","Ireland","EMEA","Merck Millipore Ireland Ltd",,"1937","Life Science","ISCO","DC","800","Tier 1","Fiona Lannin","Karen OConnor","Fiona Lannin",,,,"Dave Murphy",,"Omar Nadhour",,"Stage 1 | Site Vision Roamap (idea)",,,"N/A","N/A","N/A",,,,,"1","0","0.0%","51.9063399773465","-8.27902428116528",,"11/15/2025 9:22 AM","Completed / Updated","33",,,,,,,,,,,,,,,
,"Ciudad de Guatemala (Regional DC)","12 Avenida 0-33 <br>Zona 2<br>Ciudad de Guatemala","Ciudad de Guatemala","Guatemala","NASA",,"P70","1032/GT01","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","348",,,,,,,,,,,,,,,
"USCL1","Cleveland",,"Cleveland","United States of America","NASA",,,,"Life Science","ISCO","ISCO","95","Tier 1 (NC)","John Hart","Eric Tackett","John Hart","John Hart",,,,"John Hart","Pedro Guerrero",,,,,"N/A",,,,,,,"1","0","0.0%","41.439879996299","-81.6565732415408",,"11/15/2025 9:25 AM","Completed / Updated","35",,,,,,,,,,,,,,,
"KRDA2","Daejeon","85, Gukjegwahak 18-ro, Yuseong-gu, Daejeon, Republic of Korea 34002
","Daejeon","South Korea","APAC",,"PRP PSE
","2131/KR03
1243/6527","Life Science","ISCO","PAD / Mfg.",,,"Sung-Ho Jun","Jai-Jun Kim","Sung-Ho Jun","Han-Lim Cho;Bo Teng","Su-Chang Kim;Min-Pyo Hong","Su-Chang Kim;Min-Pyo Hong;Han-Lim Cho;Hyung-Seok Kim",,,"Damon Zhu","Ongoing",,,,"Premium","Completed","Completed","Completed","Externally-managed","Ongoing","7","7","0","0.0%","36.442981","127.354308",,"11/27/2025 11:21 AM","Update Pending","306",,,,,,"Ulrich Breitenbach",,,,,,,,,
"USDA1","Danvers","17 Cherry Hill Drive, Danvers, MA 01923","Danvers","United States of America","NASA","MilliporeSigma Corporation",,,"Life Science","ISCO","ISCO","881","Tier 1","Isaac Saron","Rafael Zagato","Isaac Saron","Dharmeshbhai Patel;Derek Orzel-Lockwood","Isaac Saron","TJ Neville;Derek Orzel-Lockwood;Dennis Nesline","Derek Orzel-Lockwood","Isaac Saron","Pedro Guerrero","Ongoing","Stage 2 | Approved Site Masterplan (Site LT approved)","2","3","Premium","Completed","Completed","Ongoing","Planning","Ongoing",,"1","0","0.0%","42.4813640039552","-71.2163075074285",,"11/15/2025 12:45 PM","Completed / Updated","38",,,,,,"Paul Jacobson",,,,,,,,,
"DEDA1","Darmstadt","Frankfurter Str. 250, 64293 Darmstadt ","Darmstadt","Germany","EMEA","Merck Life Science KGaA",,"1190","Life Science","ISCO","Production & Quality","1326","Tier 1 (NC)","Lukas Litters","Miriam Drayss","Lukas Litters;Sebastian Druwe;Silke Schmid","Steffen Raab;Daniel Marquard;Fraz Ahmad;Sebastian Druwe","Svenja Theissen;Philipp Buehle;Timo Schmid","Stefan A Wall;Maximilian Viess",,"Sebastian Druwe","Massud Arghandiwall","Completed","Stage 2 | Approved Site Masterplan (Site LT approved)",,,"Premium","Completed","Ongoing","Completed","Planning","Ongoing","670","325","75","23.1%","49.872826","8.651193",,"11/15/2025 6:50 PM","Completed / Updated","39","PAS-X",,,,"Fraz Ahmad",,,,,,,,,,
"DEDAX","Darmstadt (W)","Merck KGAA,<br>Frankfurter Strasse 250, 64291 Darmstadt<br>Virchowstrasse,<br>64293 Darmstadt","Darmstadt (W)","Germany","EMEA",,"P16","1190/0101","Life Science","ISCO","DC",,"Tier 1 (NC)","Thorsten Mueller","Matthias Buerk","Thorsten Mueller","Fabian Schuster",,,,"Axel Niedermaier;Thomas Riebel","Massud Arghandiwall",,,,,"N/A",,,,,,,"1","0","0.0%","49.8953673102745","8.65292928085693",,"11/15/2025 6:51 PM","Completed / Updated","40",,,,,,,,,,,,,,,
,"Dong Nai (Local DC)","Street No.6, Nhon Trach 3 Industrial Park , Nhon Trach District, Dong Nai Province, Vietnam","Dong Nai","Vietnam","APAC",,"local iScala","1798/ unknown
","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","351",,,,,,,,,,,,,,,
"UKED1","Edinburgh","The Doherty Building, Pentlands Science Park, Bush Loan, EH26 0PZ Penicuik","Edinburgh","Scotland","EMEA","BioReliance LTD",,"2037","Life Science","CTS","Testing","25","Tier 1 (NC)","Samuel Pereira","Amanda Novak","Samuel Pereira;Richard Guthrie",,,,,,"Omar Nadhour",,,,,"Essential",,,,,,,"1","0","0.0%","55.8982996024475","-3.55199392378284",,"11/15/2025 11:01 PM","Update Pending","43",,,,,,,,,,,,,,,
"UKGI1","Gillingham (W)","SIAL Co Ltd.<br>The Old Brickyard,<br>New Road, Gillingham,<br>Dorset SP8 4XT","Gillingham (W)","England","EMEA",,"PRE","2047/GB01","Life Science","ISCO","DC",,"Tier 2",,,,"Ian Hurdman",,,,"Ian Hurdman",,,,,,"N/A",,,,,,,"1",,,"51.0309306190824","-2.27649084890311",,"11/16/2025 2:25 AM","Completed / Updated","46",,,,,,,,,,,,,,,
"UKGL1","Glasgow","Unit 5, Todd Campus, West of Scotland Science Park, Glasgow","Glasgow","Scotland","EMEA","BioReliance Limited",,"2037","Life Science","CTS","Testing","500","Tier 1 (NC)","Richard Guthrie","Judith Clarke","Samuel Pereira;Richard Guthrie",,,,,,"Omar Nadhour",,"Stage 1 | Site Vision Roamap (idea)",,,"Premium","Completed","N/A","Completed",,"Ongoing",,"380","80","21.1%","55.9054885021561","-4.30991849391774",,"11/13/2025 1:51 PM","Update Pending","7",,,,,,,,,,,,,,,
"MYKUX","Glenmarie (W)",,"Glenmarie (W)","Malaysia","APAC",,,,"Life Science","ISCO","DC","16","Tier 1 (NC)","Lee Soon Sim",,"Lee Soon Sim",,,,,,,,,,,"N/A",,,,,,,,,,"3.08426306919929","101.561098551303",,"11/16/2025 4:07 AM","Completed / Updated","48",,,,,,,,,,,,,,,
"CNGU1","Guanghzou (W)",,"Guanghzou (W)","China","APAC",,,,"Life Science","ISCO","DC","1","Tier 3",,,,,,,,,,,,,,"N/A",,,,,,"1",,,,,,,"11/16/2025 4:09 AM","Completed / Updated","49",,,,,,,,,,,,,,,
"GTGU1","Guatemala City (W)",,"Guatemala City (W)","Guatemala","NASA",,,,"Life Science","ISCO","DC","178","Tier 1","Valeria Giordanelli",,"Valeria Giordanelli","Raul Faudoa",,,,"Raul Faudoa",,,,,,"N/A",,,,,,,,,,"14.6329447655802","-90.5772002020391",,"11/16/2025 7:40 PM","Completed / Updated","50",,,,,,,,,,,,,,,
"UKHA1","Haverhill",,"Haverhill","England","EMEA",,,,"Life Science","ISCO","ISCO","100","Tier 3","Leigh Gordon",,"Avihai Diamant","Avihai Diamant",,,,"Avihai Diamant","Omar Nadhour",,,,,"N/A",,,,,,,,,,"52.0746611246786","0.426872550892883",,"11/16/2025 7:44 PM","Completed / Updated","55",,,,,,,,,,,,,,,
"VNHO2","Ho-Chi-Minh City (W)",,"Ho-Chi-Minh City (W)","Vietnam","APAC",,,,"Life Science","ISCO","DC","1","Tier 3","Jae-Jin Kim",,"Jae-Jin Kim","Kalpesh Patil",,,,"Kalpesh Patil",,,,,,"N/A",,,,,,"1",,,,,,,"11/16/2025 7:45 PM","Completed / Updated","57",,,,,,,,,,,,,,,
"CNHO1","Hong Kong (W)",,"Hong Kong (W)","China","APAC",,,,"Life Science","ISCO","DC",,"Tier 3","Marco Cheung",,"Marco Cheung",,,,,,,,,,,"N/A",,,,,,,,,,,,,"11/16/2025 7:47 PM","Completed / Updated","59",,,,,,,,,,,,,,,
"JPIC1","Ichikawa (W)","368 Omachi, Ichikawa-shi, Chiba-pref., Japan","Ichikawa (W)","Japan","APAC",,"PRD","2136/TK02;
2136/OS02","Life Science","ISCO","DC","45","Tier 1 (NC)","Narumi Ito",,"Narumi Ito","Kalpesh Patil",,,,"Kalpesh Patil",,,,,,"N/A",,,,,,,,,,"35.7593213780911","139.968159330519",,"11/16/2025 7:48 PM","Completed / Updated","60",,,,,,,,,,,,,,,
"KRIN1","Incheon (W)",,"Incheon (W)","South Korea","APAC",,,,"Life Science","ISCO","DC","28","Tier 1 (NC)","Emrae Jung",,"Emrae Jung",,,,,,,,,,,"N/A",,,,,,,,,,"37.3621854369193","126.654523684763",,"11/16/2025 11:29 PM","Completed / Updated","61",,,,,,,,,,,,,,,
"USIN1","Indianapolis","6925 Guion Rd, 46268 Indianapolis, IN, USA","Indianapolis","United States of America","NASA","Exelead",,"2245","Life Science","ISCO (CDMO)","PAD / Mfg. / Testing","310","Tier 1 (NC)","Naveen Kacharla","Jason Vaughn","Naveen Kacharla","Naveen Kacharla",,,,"Naveen Kacharla","Pradeep Daryani",,"Stage 1 | Site Vision Roamap (idea)",,,"Premium","Completed","Planning","Ongoing",,"Planning","26",,,,"39.8802628543599","-86.2299455833804",,"11/13/2025 7:52 PM","Completed / Updated","13",,,,,,,,,,,,,,,
"UKIR1","Irvine",,"Irvine","Scotland","EMEA",,,,"Life Science","ISCO","ISCO","247","Tier 2",,"Mauricio Camargo","April Lawson;Avihai Diamant","Avihai Diamant",,,,"Avihai Diamant","Omar Nadhour",,,,,"N/A",,"Completed","Planning","N/A","Planning",,,,,"55.6046795231369","-4.6685037717207",,"11/16/2025 11:30 PM","Completed / Updated","63",,,,,,,,,,,,,,,
"USJA1","Jaffrey",,"Jaffrey","United States of America","NASA",,,,"Life Science","ISCO","ISCO","1133","Tier 1 (NC)","Sija Jacob","Niall Buckley","Tim Dobosz;Brian Bettencourt","Tim Dobosz",,,,"Tim Dobosz;Brian Bettencourt","Pedro Guerrero",,,,,"Premium",,"Completed","Planning",,,,,,,"42.7985868844347","-71.9821988419475",,"11/16/2025 11:32 PM","Update Pending","64",,,,,,,,,,,,,,,
"USJA2","Jaffrey (W)",,"Jaffrey (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 1","Thomas Martin",,"Thomas Martin",,,,,,"Pedro Guerrero",,,,,"N/A",,,,,,,,,,"42.8059080821103","-72.0086728138588",,"11/16/2025 11:33 PM","Completed / Updated","65",,,,,,,,,,,,,,,
"IDJA2","Jakarta (W)",,"Jakarta (W)","Indonesia","APAC",,,,"Life Science","ISCO","DC","1","Tier 1","Dodi Gunawan",,"Dodi Gunawan",,,,,,,,,,,"N/A",,,,,,"1",,,,,,,"11/16/2025 11:34 PM","Completed / Updated","66",,,,,,,,,,,,,,,
"ILJE1","Jerusalem","Hamada 13 & 15 Jerusalem","Jerusalem","Israel","EMEA","Sigma Aldrich Israel LTD",,"2125","Life Science","ISCO","ISCO","110","Tier 3","Avihai Diamant","Arie Mayer","Avihai Diamant","Avihai Diamant",,"Tal Gilad",,"Avihai Diamant","Omar Nadhour",,"Stage 1 | Site Vision Roamap (idea)","2","4","N/A","N/A","N/A","N/A","N/A","N/A","50","50","0","0.0%","31.8034890692945","35.2070521191561",,"11/16/2025 11:36 PM","Completed / Updated","67",,,,,,,,,,,,,,,
"INJI1","Jigani",,"Jigani","India","APAC",,,,"Life Science","ISCO","ISCO","113","Tier 3","Naval Kishore Bhatt",,"Mahadeva Prasad;Naval Kishore Bhatt","Mahadeva Prasad",,,,"Mahadeva Prasad","Damon Zhu",,,,,"N/A",,,,,,,,,,"12.8047753760817","77.6637882253396",,"11/16/2025 11:37 PM","Completed / Updated","68",,,,,,,,,,,,,,,
,"Johannesburg (W)",,"Johannesburg (W)","South Africa","EMEA",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)",,,,,,,,,,,,,,"N/A",,,,,,"1",,,,,,,"11/16/2025 11:39 PM","Completed / Updated","69",,,,,,,,,,,,,,,
"USKA1","Kankakee",,"Kankakee","United States of America","NASA",,,,"Life Science","ISCO","ISCO","85","Tier 2","Charles Snyder","Charles Snyder","Cindy Carrion","Cindy Carrion",,,,"Cindy Carrion","Manu Kaura",,,,,"N/A","N/A","N/A","N/A","N/A",,"19",,,,"41.1272683657454","-87.8657682267556",,"11/16/2025 11:41 PM","Completed / Updated","70",,,,,,,,,,,,,,,
"USKA2","Kankakee (W)",,"Kankakee (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 3","Charles Snyder",,"Charles Snyder",,,,,,"Manu Kaura",,,,,"N/A",,,,,,,,,,"41.1248778983359","-87.8302237620074",,"11/17/2025 3:32 AM","Completed / Updated","71",,,,,,,,,,,,,,,
"INPEX","Khalapur (W)",,"Khalapur (W)","India","APAC",,,,"Life Science","ISCO","DC",,"Tier 3",,,,,,,,,,,,,,"N/A",,,,,,,,,,"18.8733089892845","73.1856935513658",,"11/17/2025 3:33 AM","Completed / Updated","72",,,,,,,,,,,,,,,
"USLE2","Lenexa (Rene)","13804 W 107th St.","Lenexa (Rene)","United States of America","NASA","SAFC Biosciences, INC",,"2085","Life Science","ISCO","ISCO","285",,"Jennifer Bollinger","Daisy Brewer","Stephen Ryno","Daniel Rowland","Michele Gregg","Daniel Rowland;Daniel Jasion","Aleksei Shkarin","Daniel Rowland","Manu Kaura",,,,,"Premium","Completed","Completed","Planning","Planning","Planning","18","15",,,"38.9351721190167","-94.745682829953",,"11/17/2025 5:09 AM","Update Pending","74",,,,,,"Michele Gregg",,,,,,,,,
"USLE1","Lenexa (W)",,"Lenexa (W)","United States of America","NASA",,,,"Life Science","ISCO","DC",,"Tier 1 (NC)","Rafael Zagato",,"Rafael Zagato;Andrew Thiele;Michael Robbins",,,,,,"Manu Kaura",,,,,"N/A",,,,,,,,,,"38.9353048994353","-94.7456199794294",,"11/17/2025 9:12 AM","Completed / Updated","75",,,,,,,,,,,,,,,
"BELE1","Leuven","Technologielaan 8, 3001 Leuven, Belgien","Leuven","Belgium","EMEA",,,,"Life Science","ISCO","ISCO","60",,"MARLEEN VAN GESTEL","NICOLAS DELATTIN","MARLEEN VAN GESTEL",,,,,,,"Not Assigned",,,,"Premium","Completed","Completed","Ongoing","Planning","Planning","6","6","0","0.0%","50.85292","4.73042",,"8/13/2026 12:00 AM","Completed / Updated","377",,,,,,,,,,,,,,,
"UKLI1","Livingston",,"Livingston","Scotland","EMEA",,,,"Life Science","ISCO","ISCO","118","Tier 2","Andrew O' Donnell",,"Avihai Diamant","Avihai Diamant",,,,"Avihai Diamant","Omar Nadhour",,,,,"N/A",,,,,,,,,,"55.8834402478952","-3.55150253401479",,"11/17/2025 5:11 PM","Completed / Updated","79",,,,,,,,,,,,,,,
"FRLY1","Lyon (W)","Lyon Distribution Center<br>Rue du Luzais<br>F 38920 Saint Quentin<br>Fallavier","Lyon (W)","France","EMEA",,"PRE","2014/FR02;
2014/FR05 (regulatory items)","Life Science","ISCO","DC","1","Tier 1 (NC)","Laure Muller",,"Laure Muller","Nicolas Perrin;Florian Rodriguez",,,,"Nicolas Perrin;Florian Rodriguez",,,,,,"N/A",,,,,,"1",,,,,,,"11/17/2025 5:13 PM","Completed / Updated","80",,,,,,,,,,,,,,,
"USMD1","Madison","645 Science Drive, 53711 Madison, WI, USA","Madison","United States of America","NASA","SAFC",,"2088","Life Science","ISCO (CDMO)","PAD / Mfg. / Testing","190","Tier 1 (NC)","Nathan Roos","Jenny Fong","Nathan Roos","Nathan Roos","Nathan Roos","Scott Langer;Stephen Gilbert",,"Nathan Roos","Pradeep Daryani",,"Stage 1 | Site Vision Roamap (idea)","2","3","Premium","Completed","Completed","Completed","Planning","Planning",,"2","0","0.0%","43.055377","-89.4725140448626",,"11/13/2025 5:56 PM","Completed / Updated","10",,,,,,,,,,,,,,,
"AUME1","Melbourne (W)",,"Melbourne (W)","Australia","APAC",,,,"Life Science","ISCO","DC","1","Tier 1 (NC)","Brent Gittus",,"Brent Gittus",,,,,,,,,,,"N/A",,,,,,,,,,,,,"11/17/2025 5:14 PM","Completed / Updated","83",,,,,,,,,,,,,,,
"FRME1","Meyzieu",,"Meyzieu","France","EMEA",,,,"Life Science","ISCO","ISCO","198","Tier 1 (NC)","Guillaume Brosseau",,"Guillaume Brosseau",,,,,,,,,,,"N/A",,,,,,,,,,"45.7786464026195","5.02863002288609",,"11/17/2025 5:16 PM","Completed / Updated","84",,,,,,,,,,,,,,,
"USDY1","Miamisburg","3858 Benner Rd","Miamisburg","United States of America","NASA","Aldrich Chemical CO LLC",,"2066","Life Science","ISCO","ISCO","92","Tier 3","John Shay","Larry Coers","John Shay","John Shay",,,,"John Shay","Pedro Guerrero",,"Stage 1 | Site Vision Roamap (idea)","2","3","N/A","N/A","Completed","N/A","N/A","N/A","0","0","0","#DIV/0!","39.6164449960818","-84.2427514413327",,"11/17/2025 5:17 PM","Completed / Updated","85",,,,,,,,,,,,,,,
