guasto,worse | broken | failures | malfunction
worse | broken | failures | malfunction,guasto
parlate,talk | speak | you tell | you mention | you address
talk | speak | you tell | you mention | you address,parlate
lingua,tongue | language | modern languages
tongue | language | modern languages,lingua
lavorano,work | they knit | they knead | they cultivate | they are working
work | they knit | they knead | they cultivate | they are working,lavorano
durante,for | during
for | during,durante
quasi,near | about | nearly | almost | nearest
near | about | nearly | almost | nearest,quasi
lavorate,work | you knead | you cultivate
work | you knead | you cultivate,lavorate
alla settimana,a week
a week,alla settimana
studiate,study
study,studiate
di pomeriggio,in the afternoon
in the afternoon,di pomeriggio
dovete,you must | you have to
you must | you have to,dovete
raggio,ray | beam | spoke | range | radius
ray | beam | spoke | range | radius,raggio
studiamo,study | consider | we examine | we work out | we think up
study | consider | we examine | we work out | we think up,studiamo
possono,can | they'll | they may | they are able to | they are allowed to
can | they'll | they may | they are able to | they are allowed to,possono
centro commerciale,mall
mall,centro commerciale
fare shopping,to go shopping
to go shopping,fare shopping
stadio,stadium
stadium,stadio
annoiato,bored
bored,annoiato
artisti,master | artist | artists | artists'
master | artist | artists | artists',artisti
artista,artist
artist,artista
dipinto,painting | depicted | portrayed
painting | depicted | portrayed,dipinto
statua,statue
statue,statua
edifici,edifices | buildings | structures
edifices | buildings | structures,edifici
buchi,holes | breaks
holes | breaks,buchi
potete,you can | you are able to | you are allowed to
you can | you are able to | you are allowed to,potete
via,off | got | way | away | road
off | got | way | away | road,via
monumento,monument
monument,monumento
vi piacciono,do you like
do you like,vi piacciono
febbraio,February
February,febbraio
vi piace,you like
you like,vi piace
volete,want | like | mean | take | need
want | like | mean | take | need,volete
busto,stay
stay,busto
cultura,culture | learning | knowledge | education | cultivation
culture | learning | knowledge | education | cultivation,cultura
ci piace,we like
we like,ci piace
vogliamo,want | we take
want | we take,vogliamo
ci piacciono,we like
we like,ci piacciono
parte,way | part | role | goes | side
way | part | role | goes | side,parte
pino,pine
pine,pino
arte,art
art,arte
piacciono,like | likes | are liked
like | likes | are liked,piacciono
divertiti,have fun
have fun,divertiti
buona fortuna,good luck | good fortune | best of luck
good luck | good fortune | best of luck,buona fortuna
attento,wary | alert | close | caring | careful
wary | alert | close | caring | careful,attento
preoccupato,worried
worried,preoccupato
zona,zone | area | patch | region | regions
zone | area | patch | region | regions,zona
le piacciono,she likes
she likes,le piacciono
ristoranti,diners | restore | refresh | restaurant | restaurants
diners | restore | refresh | restaurant | restaurants,ristoranti
le piace,she likes
she likes,le piace
pranzare,to have lunch
to have lunch,pranzare
piaccio,like
like,piaccio
animali,brute | animal | animals
brute | animal | animals,animali
natura,nature
nature,natura
gli piacciono,he likes | they like
he likes | they like,gli piacciono
gli piace,he likes | they like
he likes | they like,gli piace
uccello,bird | birds
bird | birds,uccello
disegnare,to draw
to draw,disegnare
legno,wood
wood,legno
cucinare,to cook
to cook,cucinare
piace,like | likes
like | likes,piace
cinema,movie theater
movie theater,cinema
viaggiare,to travel
to travel,viaggiare
com'è,how's | what’s | how is | what is | as it is
how's | what’s | how is | what is | as it is,com'è
intelligente,intelligent
intelligent,intelligente
gesso,chalk
chalk,gesso
fa,does | makes | do | make | is
does | makes | do | make | is,fa
coppa,pot | cup | pan | pots | bowl
pot | cup | pan | pots | bowl,coppa
appuntamento,date | appointment
date | appointment,appuntamento
biondo,fair | blond | blonde | fair-haired
fair | blond | blonde | fair-haired,biondo
abbiamo bisogno di,need
need,abbiamo bisogno di
guidare,to drive
to drive,guidare
patente,driver's license
driver's license,patente
ebbi,kept | wear | have | held | offered
kept | wear | have | held | offered,ebbi
se,if
if,se
fotografia,photo | picture | photograph | photography
photo | picture | photograph | photography,fotografia
riunioni,meeting | reunion | meetings | reunions | gathering
meeting | reunion | meetings | reunions | gathering,riunioni
internet,internet
internet,internet
cellulare,cell phone
cell phone,cellulare
hanno bisogno di,need
need,hanno bisogno di
le sue,her | his | hers | your
her | his | hers | your,le sue
dobbiamo,we've | we're | we owe | we must | we need to
we've | we're | we owe | we must | we need to,dobbiamo
aprire,to open
to open,aprire
soldi,money
money,soldi
dollaro,buck | clam | dollar
buck | clam | dollar,dollaro
marocchino,Moroccan
Moroccan,marocchino
mesi,month | months | months' | monthly pay
month | months | months' | monthly pay,mesi
tratto,lengths | stretch
lengths | stretch,tratto
cercano,find | seek | look | found | search for
find | seek | look | found | search for,cercano
cerca,looks for | searches | find | look for
looks for | searches | find | look for,cerca
contratto,got | caught | contract | I negotiate
got | caught | contract | I negotiate,contratto
occhi,eyes
eyes,occhi
parlano,talk | speak
talk | speak,parlano
i suoi,her | his | your | hers
her | his | your | hers,i suoi
indiano,Indian
Indian,indiano
passaporto,passport
passport,passaporto
visto,saw | met | see | visa | seen
saw | met | see | visa | seen,visto
contanti,cash | have | count | matter
cash | have | count | matter,contanti
portare,to bring
to bring,portare
avere,to have | have | has | had
to have | have | has | had,avere
costare,cost
cost,costare
possiamo,can | we are able to
can | we are able to,possiamo
le loro,their | theirs
their | theirs,le loro
passa,passes | pass | goes by | spends
passes | pass | goes by | spends,passa
i loro,their | theirs
their | theirs,i loro
ingredienti,element | ingredient | ingredients
element | ingredient | ingredients,ingredienti
provare,to try
to try,provare
prosciutto,ham
ham,prosciutto
senza,except | without | out of
except | without | out of,senza
pezzo,cut | part | scrap | piece | lengths
cut | part | scrap | piece | lengths,pezzo
taglia,cut | size | stop | break | breaks
cut | size | stop | break | breaks,taglia
formaggio,cheese
cheese,formaggio
salame,pepperoni
pepperoni,salame
bottiglia,bottle
bottle,bottiglia
birra,beer
beer,birra
pomodoro,tomato
tomato,pomodoro
gamma,sweep | assortment
sweep | assortment,gamma
vorremmo,like | want | we'd | liked | wanted
like | want | we'd | liked | wanted,vorremmo
ordinare,to order
to order,ordinare
la loro,their | theirs
their | theirs,la loro
prenotazione,reservation
reservation,prenotazione
persone,people | person | persona | peoples
people | person | persona | peoples,persone
cenare,to have dinner
to have dinner,cenare
centri,centers
centers,centri
in centro,downtown
downtown,in centro
vorrebbero,like | want | liked | they would wish | they would need
like | want | liked | they would wish | they would need,vorrebbero
il loro,their | theirs
their | theirs,il loro
pizza,pizzas | pizza
pizzas | pizza,pizza
le nostre,our | ours
our | ours,le nostre
iniziano,enter | they start | they begin
enter | they start | they begin,iniziano
lezioni,lessons | classes | lectures
lessons | classes | lectures,lezioni
quattro,four
four,quattro
interessanti,juicy | intriguing | interesting
juicy | intriguing | interesting,interessanti
passi,pass | steps | you pass
pass | steps | you pass,passi
mostri,show | present | monsters | you exhibit | you point to
show | present | monsters | you exhibit | you point to,mostri
letteratura,literature
literature,letteratura
musica,music
music,musica
i nostri,our | ours
our | ours,i nostri
professori,teachers | professors | professors'
teachers | professors | professors',professori
mostre,exhibitions
exhibitions,mostre
matematica,math
math,matematica
storia,history
history,storia
le vostre,your | yours
your | yours,le vostre
quali,as | who | that | whom | when
as | who | that | whom | when,quali
materia,course | matter | subject | subjects | substance
course | matter | subject | subjects | substance,materia
preferito,pets | favorite | favourite | preferred | preferable
pets | favorite | favourite | preferred | preferable,preferito
chiavi,keys
keys,chiavi
i vostri,your | yours
your | yours,i vostri
chilo,kilo
kilo,chilo
odio,hate | hatred | I detest
hate | hatred | I detest,odio
armadio,closet
closet,armadio
libro,book | books
book | books,libro
frigorifero,fridge | refrigerator | refrigerators
fridge | refrigerator | refrigerators,frigorifero
università,university
university,università
la vostra,your | yours
your | yours,la vostra
ragazze,girls
girls,ragazze
il vostro,your | yours
your | yours,il vostro
dormitorio,dorm
dorm,dormitorio
benvenuti,welcome
welcome,benvenuti
calde,hot | hotf | warm
hot | hotf | warm,calde
felice,happy
happy,felice
fiori,club | flower | flowers
club | flower | flowers,fiori
fiore,bloom | flower
bloom | flower,fiore
anello,ring | bands | rings
ring | bands | rings,anello
stanco,tired | overtired
tired | overtired,stanco
tuono,roar | sound | rumble | thunder
roar | sound | rumble | thunder,tuono
ceno,I eat dinner | I have dinner
I eat dinner | I have dinner,ceno
eleganti,fancy | elegant
fancy | elegant,eleganti
le tue,your | yours
your | yours,le tue
nonna,grandma | grandmother
grandma | grandmother,nonna
buono,kind | full | best | nice | good
kind | full | best | nice | good,buono
ricevimento,reception
reception,ricevimento
i tuoi,your | yours
your | yours,i tuoi
elegante,elegant
elegant,elegante
zio,uncle
uncle,zio
zii,uncles
uncles,zii
nonno,grandpa | grandfather
grandpa | grandfather,nonno
sposo,groom
groom,sposo
le mie,my | mine
my | mine,le mie
della,'s | of | in | than | some
's | of | in | than | some,della
moschea,mosque
mosque,moschea
amiche,friends | girlfriends
friends | girlfriends,amiche
sposa,bride | you marry | it marries | he marries | you embrace
bride | you marry | it marries | he marries | you embrace,sposa
zia,aunt
aunt,zia
genitori,folks | parents
folks | parents,genitori
tristi,sad | gloomy | unhappy
sad | gloomy | unhappy,tristi
maggio,May
May,maggio
vogliono,want | wants
want | wants,vogliono
amici,friends
friends,amici
i miei,my | mine
my | mine,i miei
matrimonio,match | wedding | marriage
match | wedding | marriage,matrimonio
cinque,five
five,cinque
suolo,soil | earth
soil | earth,suolo
insieme,together
together,insieme
quanti,as | how many
as | how many,quanti
scrivere,to write
to write,scrivere
email,email
email,email
inviare,to send
to send,inviare
riunione,meeting
meeting,riunione
documento,papers | document | documents
papers | document | documents,documento
bagni,bathrooms
bathrooms,bagni
aria,air | wind | look | breeze | looking
air | wind | look | breeze | looking,aria
scrivania,desk
desk,scrivania
sedia,seat | chair | seats
seat | chair | seats,sedia
signor,Mr.
Mr.,signor
curriculum,resume
resume,curriculum
quinto,fifth | Quintus
fifth | Quintus,quinto
undici,eleven
eleven,undici
colloquio,interview
interview,colloquio
aspettare,to wait
to wait,aspettare
sci,ski | skis
ski | skis,sci
vanno,they go | go
they go | go,vanno
sciare,to ski
to ski,sciare
nevica,snow | snows
snow | snows,nevica
gennaio,January
January,gennaio
cappotto,coat | coats | overcoat
coat | coats | overcoat,cappotto
inverno,winter
winter,inverno
leggere,to read
to read,leggere
uso,used | uses | customs | exercise | I run
used | uses | customs | exercise | I run,uso
balla,dance
dance,balla
rileggi,reread
reread,rileggi
settembre,September
September,settembre
piove,rains
rains,piove
ombrello,gamp | shelter | umbrella
gamp | shelter | umbrella,ombrello
zucca,squash | pumpkin
squash | pumpkin,zucca
mappa,map | plan | maps | picture
map | plan | maps | picture,mappa
dicembre,December
December,dicembre
fa freddo,it's cold
it's cold,fa freddo
sto,be | I'm | stay | I am | I feel
be | I'm | stay | I am | I feel,sto
bevo,drink
drink,bevo
zuppa,soup
soup,zuppa
acqua,water
water,acqua
andate,gone | went | going
gone | went | going,andate
luglio,July
July,luglio
fa caldo,it's hot
it's hot,fa caldo
fate,do | made | make | have | keep
do | made | make | have | keep,fate
facci,Make
Make,facci
giugno,June
June,giugno
fuori,outside
outside,fuori
nel,in | at | on | to | by
in | at | on | to | by,nel
c'è il sole,it is sunny | there is sunshine | the sun is out | the sun is shining
it is sunny | there is sunshine | the sun is out | the sun is shining,c'è il sole
giusto,even | just | fair | true | uses
even | just | fair | true | uses,giusto
facciamo,made | make | lets | keep
made | make | lets | keep,facciamo
un altro,another
another,un altro
aiuto,help
help,aiuto
subito,immediately
immediately,subito
fantasma,ghost
ghost,fantasma
posto,job | set | site | spot | seat
job | set | site | spot | seat,posto
grido,scream
scream,grido
ha paura,is scared | is afraid | are afraid
is scared | is afraid | are afraid,ha paura
un'altra,another | one more | one other
another | one more | one other,un'altra
sente,feels | hears | feel | hear
feels | hears | feel | hear,sente
uomo,man
man,uomo
dorme,sleep | sleeps | are asleep
sleep | sleeps | are asleep,dorme
senno,mind
mind,senno
senti,feel | hear | heard | listen | you smell
feel | hear | heard | listen | you smell,senti
dormi,you sleep | be asleep | you sit back | you are asleep | you go to bed
you sleep | be asleep | you sit back | you are asleep | you go to bed,dormi
hai paura,you're scared
you're scared,hai paura
donna,woman | skirts
woman | skirts,donna
spaventoso,ugly | scary | spooky | frightening
ugly | scary | spooky | frightening,spaventoso
dormo,sleep | I am asleep
sleep | I am asleep,dormo
sento,hear | heard | I feel | I taste | I smell
hear | heard | I feel | I taste | I smell,sento
quanto,so | as | how | really | however much
so | as | how | really | however much,quanto
ho paura,I'm scared | I am afraid | I'm afraid
I'm scared | I am afraid | I'm afraid,ho paura
voce,voice
voice,voce
vicino alla,next to the
next to the,vicino alla
strappi,rip
rip,strappi
di notte,at night
at night,di notte
rumori,din | noise | sound | noises
din | noise | sound | noises,rumori
dormire,to sleep
to sleep,dormire
rumore,noise
noise,rumore
sentire,to feel | to hear | feel | hear
to feel | to hear | feel | hear,sentire
strano,odd | weird | goofy | strange | weirder
odd | weird | goofy | strange | weirder,strano
sette,seven
seven,sette
retto,held | right | square | squares | straight
held | right | square | squares | straight,retto
te,yourself | to your place | in your house | to your house | in your place
yourself | to your place | in your house | to your house | in your place,te
raso,short
short,raso
aperitivo,aperitif
aperitif,aperitivo
museo,museum | museums
museum | museums,museo
prende,takes | take
takes | take,prende
curato,neat | tidy | curate | priest | treated
neat | tidy | curate | priest | treated,curato
vede,sees | see | he sees | she sees
sees | see | he sees | she sees,vede
all'una,at one | at 1 o'clock
at one | at 1 o'clock,all'una
parchi,parks
parks,parchi
famoso,famous | renowned | well-known
famous | renowned | well-known,famoso
prendi,gain | took | take | you get | you set
gain | took | take | you get | you set,prendi
nove,nine
nine,nove
vedi,see | you meet
see | you meet,vedi
negozi,shops | store | stores | shoppe | business
shops | store | stores | shoppe | business,negozi
castello,castle | castles | forecastle
castle | castles | forecastle,castello
alle,al | as | at | to | for
al | as | at | to | for,alle
vedo,saw | see | seen | told | I meet
saw | see | seen | told | I meet,vedo
prendo,take | have | took | bring
take | have | took | bring,prendo
cado,strike
strike,cado
otto,eight
eight,otto
vedere,to see | see | sees | saw | seen
to see | see | sees | saw | seen,vedere
prendere,to take | take | takes | took | taken
to take | take | takes | took | taken,prendere
medici,doctors | medical
doctors | medical,medici
vicino al,near the | next to the
near the | next to the,vicino al
mattina,morning
morning,mattina
stiamo,be | are | stay | we’re | we're
be | are | stay | we’re | we're,stiamo
cuciniamo,cook | we fix
cook | we fix,cuciniamo
regali,gifts | presents | you give away
gifts | presents | you give away,regali
panettone,panettone
panettone,panettone
Natale,Christmas
Christmas,Natale
viaggiamo,we travel
we travel,viaggiamo
in spiaggia,on the beach | at the beach | in the beach area | going to the beach
on the beach | at the beach | in the beach area | going to the beach,in spiaggia
reggia,palaces
palaces,reggia
lavoriamo,work | we knead | we cultivate
work | we knead | we cultivate,lavoriamo
agosto,August
August,agosto
caldo,hot | warm | cozier | friendly | full-blooded
hot | warm | cozier | friendly | full-blooded,caldo
mangiamo,eat | we are eating
eat | we are eating,mangiamo
cioccolato,chocolate
chocolate,cioccolato
squalo,shark
shark,squalo
cerchiamo,find | look | found | we seek
find | look | found | we seek,cerchiamo
uova,eggs
eggs,uova
compriamo,square | we buy | we purchase | we are buying
square | we buy | we purchase | we are buying,compriamo
Pasqua,Easter
Easter,Pasqua
festeggiamo,we're | we celebrate
we're | we celebrate,festeggiamo
fuochi d'artificio,fireworks
fireworks,fuochi d'artificio
andiamo,gone | went | let’s | going
gone | went | let’s | going,andiamo
Capodanno,New Year's
New Year's,Capodanno
concerto,gig | shows | concert | performance
gig | shows | concert | performance,concerto
rossi,red | reddest | Rossi
red | reddest | Rossi,rossi
passiamo,we pass | pass | we spend
we pass | pass | we spend,passiamo
bambini,boys | kids | babies | children
boys | kids | babies | children,bambini
importante,important
important,importante
importanti,big | major | mattered | important | prominent
big | major | mattered | important | prominent,importanti
famiglia,stock | family
stock | family,famiglia
applicazione,app
app,applicazione
lezione,class | moral | lesson | lecture
class | moral | lesson | lecture,lezione
parla,talk | speak | talks | speaks | is talking
talk | speak | talks | speaks | is talking,parla
a volte,sometimes
sometimes,a volte
pomeriggio,afternoon
afternoon,pomeriggio
usa,use | uses | wears | exercise | it runs
use | uses | wears | exercise | it runs,usa
cibo,food
food,cibo
lava,wash | washes | showers | he cleans | it cleans
wash | washes | showers | he cleans | it cleans,lava
giallo,yellow
yellow,giallo
sera,evening
evening,sera
mangia,eat | eats
eat | eats,mangia
cita,names
names,cita
mangio,eat | I am eating
eat | I am eating,mangio
giorno,day
day,giorno
cucino,cook | I am cooking
cook | I am cooking,cucino
giorni,days
days,giorni
lavo,wash | cleanse | I clean | I brush
wash | cleanse | I clean | I brush,lavo
lavanderia,cleaner | laundry | dry-cleaner
cleaner | laundry | dry-cleaner,lavanderia
piatti,pan | flat | dull | plate | plates
pan | flat | dull | plate | plates,piatti
ratto,rat
rat,ratto
cucini,cook | cooking
cook | cooking,cucini
lavi,wash | shower
wash | shower,lavi
piangi,cry | you mourn for | you grieve for
cry | you mourn for | you grieve for,piangi
carne,meat
meat,carne
mangi,eat | eats
eat | eats,mangi
stare,be | was | fits | stay | kept
be | was | fits | stay | kept,stare
studiare,to study
to study,studiare
lavorare,to work
to work,lavorare
parlare,we're | talk | speak | talked | speech
we're | talk | speak | talked | speech,parlare
benvenuto,welcome
welcome,benvenuto
ha bisogno di,you need | needs
you need | needs,ha bisogno di
forse,maybe
maybe,forse
vorrebbe,like | want | liked | wanted | would wish
like | want | liked | wanted | would wish,vorrebbe
comunque,anyway
anyway,comunque
parco,park
park,parco
può,can | he can | she can
can | he can | she can,può
invece,instead
instead,invece
giovedì,Thursday
Thursday,giovedì
vive,live | alive | lives | you experience | it experiences
live | alive | lives | you experience | it experiences,vive
ho sonno,I'm sleepy | I am tired | I am sleepy
I'm sleepy | I am tired | I am sleepy,ho sonno
occupato,busy | held
busy | held,occupato
lavora,work | works
work | works,lavora
cure,care | worry | treatment | carefulness | edited by
care | worry | treatment | carefulness | edited by,cure
mercoledì,Wednesday
Wednesday,mercoledì
ho sete,I'm thirsty | I am thirsty
I'm thirsty | I am thirsty,ho sete
deve,must | has to | he must | she must
must | has to | he must | she must,deve
corri,run
run,corri
sicuro,safe | sure | sound | secure | safest
safe | sure | sound | secure | safest,sicuro
corsa,jog | run | runs | dash | footrace
jog | run | runs | dash | footrace,corsa
ho fame,am hungry | I'm hungry
am hungry | I'm hungry,ho fame
faccio,do | made | make
do | made | make,faccio
martedì,Tuesday
Tuesday,martedì
straccio,rag
rag,straccio
a casa,at home | home
at home | home,a casa
malato,ill | sick | dirty | ailing | injured
ill | sick | dirty | ailing | injured,malato
yoga,yoga
yoga,yoga
lunedì,Monday
Monday,lunedì
venire,to come
to come,venire
al,a | at | to | in | the
a | at | to | in | the,al
pagare,to pay
to pay,pagare
carta di credito,credit card
credit card,carta di credito
cliccare,to click
to click,cliccare
dopo,then
then,dopo
gara,race | event | events | contest | competition
race | event | events | contest | competition,gara
devi,you must | you have to | must
you must | you have to | must,devi
orologi,clocks | watches
clocks | watches,orologi
molte,many
many,molte
scarpa,shoe
shoe,scarpa
giri,turn | break
turn | break,giri
guanti,gloves
gloves,guanti
mi piacciono,I like
I like,mi piacciono
scarpe,shoes
shoes,scarpe
belle,good | nice | fair | goods | fines
good | nice | fair | goods | fines,belle
nere,black
black,nere
maglietta,T-shirt
T-shirt,maglietta
ti piacciono,you like
you like,ti piacciono
queste,this | these
this | these,queste
borse,bag | bags | handbag | briefcase | stock exchange
bag | bags | handbag | briefcase | stock exchange,borse
questi,this | these | those
this | these | those,questi
neri,black | neri
black | neri,neri
allo,a | at | to | in | al
a | at | to | in | al,allo
pantaloni,pants
pants,pantaloni
su,up | on | to | in | ons
up | on | to | in | ons,su
cervo,deer | stag | hart
deer | stag | hart,cervo
ci sono,there are | are there
there are | are there,ci sono
guanto,glove
glove,guanto
molti,many
many,molti
sito,website
website,sito
guarda,look | watch | looks
look | watch | looks,guarda
belli,good | nice | fair | fine | goodly
good | nice | fair | fine | goodly,belli
rotta,rout | break | course | broken
rout | break | course | broken,rotta
mi,me | my | myself
me | my | myself,mi
va bene,OK
OK,va bene
idea,idea
idea,idea
sabato,Saturday
Saturday,sabato
ricchi,rich | riches | wealthy | copious | abundant
rich | riches | wealthy | copious | abundant,ricchi
borsa,bag
bag,borsa
non sono d'accordo,I disagree | I don't agree | I do not agree | No
I disagree | I don't agree | I do not agree | No,non sono d'accordo
bicicletta,bicycle
bicycle,bicicletta
vecchia,old
old,vecchia
la sua,her | his | its | hers
her | his | its | hers,la sua
tacco,heel | heeled shoe
heel | heeled shoe,tacco
computer,computers | computer
computers | computer,computer
soglia,limit | verge | brink | doorstep | threshold
limit | verge | brink | doorstep | threshold,soglia
portafoglio,wallet
wallet,portafoglio
rotto,broken
broken,rotto
venerdì,Friday
Friday,venerdì
hai ragione,you're right | you are right
you're right | you are right,hai ragione
orologio,watch | clock | timer | watches
watch | clock | timer | watches,orologio
vecchio,old
old,vecchio
il suo,her | his | your | hers
her | his | your | hers,il suo
telefono,phone
phone,telefono
domenica,Sunday
Sunday,domenica
festa,done | don't | party | holiday | parties
done | don't | party | holiday | parties,festa
compleanno,birthday
birthday,compleanno
regalo,gift
gift,regalo
posso,I can | can
I can | can,posso
passo,step | pace | I pass | pass
step | pace | I pass | pass,passo
biglietto,ticket
ticket,biglietto
vorresti,want | you'd | wanted | wouldn't | you would need
want | you'd | wanted | wouldn't | you would need,vorresti
biglietti,tickets
tickets,biglietti
città,town | city | cities
town | city | cities,città
settimana,week
week,settimana
la prossima,next
next,la prossima
francese,French
French,francese
va,goes | go | he goes | she goes
goes | go | he goes | she goes,va
